"uso_internet","sexo","edad","estudios"
"1","Mujer","36","U. Preg"
"1","Mujer","25","Form. Prof"
"0","Mujer","69","Primaria"
"0","Hombre","36","Primaria"
"1","Mujer","46","U. Preg"
"0","Mujer","60","Primaria"
"1","Hombre","48","Secundaria"
"1","Mujer","35","U. Preg"
"1","Hombre","29","Maestría"
"1","Hombre","33","Primaria"
"1","Mujer","42","Maestría"
"0","Mujer","63","Sin estudios"
"0","Hombre","59","Primaria"
"1","Hombre","43","Primaria"
"0","Mujer","66","Sin estudios"
"0","Mujer","64","Secundaria"
"1","Hombre","52","Secundaria"
"1","Mujer","31","Maestría"
"0","Hombre","87","Primaria"
"0","Mujer","95","Primaria"
"1","Hombre","33","Form. Prof"
"0","Hombre","44","Primaria"
"1","Mujer","46","Primaria"
"1","Mujer","31","Maestría"
"1","Mujer","63","U. Preg"
"1","Hombre","21","U. Preg"
"1","Mujer","42","Form. Prof"
"0","Mujer","75","Secundaria"
"0","Hombre","67","Form. Prof"
"1","Hombre","22","Secundaria"
"1","Hombre","37","Primaria"
"0","Hombre","54","Primaria"
"0","Hombre","62","Primaria"
"1","Mujer","28","Form. Prof"
"0","Mujer","52","Primaria"
"1","Mujer","41","Form. Prof"
"1","Mujer","65","Form. Prof"
"1","Mujer","30","U. Preg"
"0","Hombre","47","Primaria"
"1","Hombre","20","Form. Prof"
"1","Mujer","40","Form. Prof"
"0","Hombre","81","Primaria"
"1","Hombre","44","Primaria"
"1","Hombre","33","Form. Prof"
"1","Mujer","27","Form. Prof"
"1","Hombre","52","Maestría"
"1","Mujer","66","U. Preg"
"0","Hombre","74","Sin estudios"
"1","Mujer","19","Secundaria"
"0","Mujer","38","Form. Prof"
"1","Hombre","35","Maestría"
"1","Hombre","22","Secundaria"
"0","Mujer","53","Maestría"
"1","Mujer","32","Secundaria"
"1","Hombre","58","Secundaria"
"1","Mujer","23","Primaria"
"1","Hombre","31","Maestría"
"0","Mujer","66","Secundaria"
"1","Hombre","42","Primaria"
"0","Mujer","57","Primaria"
"1","Hombre","73","Maestría"
"1","Hombre","34","Primaria"
"1","Mujer","31","Secundaria"
"1","Mujer","36","Primaria"
"1","Hombre","38","U. Preg"
"0","Mujer","65","Primaria"
"1","Hombre","27","Primaria"
"0","Mujer","58","Primaria"
"0","Mujer","49","Sin estudios"
"0","Hombre","69","Primaria"
"0","Hombre","59","Secundaria"
"0","Mujer","36","Primaria"
"0","Mujer","72","Primaria"
"1","Hombre","46","Form. Prof"
"0","Mujer","18","Primaria"
"0","Hombre","34","Primaria"
"1","Mujer","32","Secundaria"
"1","Hombre","26","Primaria"
"1","Hombre","56","Secundaria"
"1","Hombre","31","Form. Prof"
"1","Mujer","26","Form. Prof"
"0","Hombre","84","Primaria"
"1","Mujer","24","Primaria"
"0","Mujer","50","Primaria"
"1","Hombre","24","Primaria"
"0","Hombre","64","Primaria"
"0","Mujer","60","Primaria"
"1","Hombre","38","Secundaria"
"1","Hombre","35","Primaria"
"1","Mujer","65","Primaria"
"1","Mujer","26","Secundaria"
"1","Mujer","42","U. Preg"
"0","Hombre","48","Primaria"
"0","Hombre","78","Sin estudios"
"1","Hombre","44","Form. Prof"
"0","Hombre","34","Primaria"
"0","Hombre","46","Secundaria"
"1","Mujer","21","Primaria"
"1","Hombre","40","Primaria"
"0","Mujer","64","Primaria"
"0","Hombre","68","Sin estudios"
"1","Mujer","48","Form. Prof"
"0","Mujer","85","Primaria"
"0","Hombre","55","U. Preg"
"1","Hombre","24","Form. Prof"
"0","Mujer","80","Sin estudios"
"1","Hombre","30","Primaria"
"1","Hombre","45","U. Preg"
"0","Hombre","64","Primaria"
"1","Mujer","18","Primaria"
"0","Mujer","35","Maestría"
"1","Mujer","55","Secundaria"
"1","Mujer","82","U. Preg"
"1","Mujer","38","U. Preg"
"0","Mujer","87","Primaria"
"1","Mujer","22","U. Preg"
"1","Hombre","51","Secundaria"
"0","Hombre","77","Primaria"
"1","Hombre","62","U. Preg"
"1","Hombre","37","Form. Prof"
"1","Mujer","29","U. Preg"
"0","Mujer","62","Primaria"
"1","Mujer","47","Secundaria"
"0","Mujer","90","Sin estudios"
"1","Hombre","32","Form. Prof"
"1","Mujer","30","Maestría"
"0","Hombre","80","Primaria"
"1","Hombre","37","Form. Prof"
"1","Hombre","22","Secundaria"
"0","Hombre","80","Primaria"
"0","Hombre","46","Form. Prof"
"0","Mujer","56","Secundaria"
"0","Mujer","73","Primaria"
"1","Mujer","43","U. Preg"
"1","Hombre","34","Form. Prof"
"1","Mujer","26","Secundaria"
"1","Mujer","47","Primaria"
"0","Mujer","49","Primaria"
"1","Mujer","56","U. Preg"
"1","Mujer","29","U. Preg"
"1","Hombre","18","Primaria"
"1","Hombre","55","Secundaria"
"1","Hombre","39","Secundaria"
"1","Hombre","31","Form. Prof"
"0","Hombre","50","Primaria"
"1","Mujer","33","Primaria"
"0","Hombre","39","Primaria"
"0","Hombre","77","Primaria"
"0","Mujer","50","Primaria"
"0","Mujer","75","Primaria"
"0","Hombre","30","Primaria"
"0","Mujer","38","Primaria"
"0","Mujer","70","Sin estudios"
"0","Hombre","31","Primaria"
"1","Mujer","47","Form. Prof"
"0","Hombre","79","Primaria"
"0","Hombre","20","Primaria"
"1","Hombre","40","Form. Prof"
"1","Mujer","27","Secundaria"
"0","Mujer","42","Primaria"
"0","Hombre","52","Primaria"
"0","Hombre","25","Primaria"
"0","Hombre","42","Form. Prof"
"0","Mujer","65","Sin estudios"
"0","Mujer","56","Primaria"
"1","Mujer","22","U. Preg"
"0","Mujer","34","Primaria"
"1","Hombre","21","Primaria"
"0","Hombre","57","Primaria"
"0","Hombre","70","Sin estudios"
"1","Mujer","40","Primaria"
"1","Mujer","33","U. Preg"
"1","Hombre","25","Primaria"
"0","Mujer","66","Sin estudios"
"1","Hombre","39","Secundaria"
"0","Mujer","47","Form. Prof"
"0","Mujer","68","Sin estudios"
"1","Hombre","30","Primaria"
"0","Hombre","65","Primaria"
"1","Hombre","36","Form. Prof"
"0","Mujer","46","Primaria"
"1","Mujer","28","Primaria"
"0","Mujer","37","Primaria"
"0","Mujer","62","Primaria"
"1","Hombre","46","Primaria"
"0","Hombre","63","Primaria"
"1","Hombre","25","U. Preg"
"0","Mujer","65","Primaria"
"0","Hombre","80","Primaria"
"1","Mujer","54","Primaria"
"0","Hombre","50","Form. Prof"
"1","Mujer","36","U. Preg"
"1","Hombre","60","Maestría"
"1","Mujer","34","U. Preg"
"1","Mujer","21","Secundaria"
"0","Hombre","73","Form. Prof"
"0","Mujer","77","Primaria"
"1","Mujer","37","Secundaria"
"1","Hombre","45","Primaria"
"1","Mujer","22","Primaria"
"1","Mujer","42","Primaria"
"0","Hombre","72","Sin estudios"
"0","Hombre","38","Primaria"
"0","Hombre","50","Primaria"
"1","Hombre","28","U. Preg"
"1","Mujer","55","Secundaria"
"0","Mujer","65","Primaria"
"1","Mujer","48","Primaria"
"1","Hombre","20","Primaria"
"0","Mujer","45","Primaria"
"1","Mujer","32","Secundaria"
"0","Hombre","76","Sin estudios"
"1","Hombre","37","Primaria"
"0","Mujer","60","Primaria"
"0","Mujer","70","Sin estudios"
"0","Hombre","31","Primaria"
"1","Mujer","44","Primaria"
"0","Mujer","30","Primaria"
"0","Hombre","57","Primaria"
"0","Mujer","73","Sin estudios"
"0","Hombre","88","Sin estudios"
"1","Hombre","18","Primaria"
"0","Hombre","48","Primaria"
"1","Hombre","37","U. Preg"
"0","Mujer","60","Primaria"
"1","Hombre","24","U. Preg"
"1","Mujer","40","Secundaria"
"0","Hombre","35","Primaria"
"0","Mujer","73","U. Preg"
"1","Mujer","33","U. Preg"
"1","Hombre","25","U. Preg"
"1","Mujer","45","Form. Prof"
"1","Hombre","53","Maestría"
"1","Hombre","68","U. Preg"
"1","Hombre","35","Secundaria"
"0","Mujer","24","Primaria"
"1","Mujer","30","Form. Prof"
"0","Mujer","80","Primaria"
"0","Mujer","41","Primaria"
"0","Hombre","52","Primaria"
"0","Hombre","23","Primaria"
"1","Hombre","70","Primaria"
"0","Hombre","80","Sin estudios"
"0","Hombre","60","Primaria"
"0","Hombre","46","Secundaria"
"0","Mujer","87","Sin estudios"
"1","Hombre","41","Primaria"
"0","Mujer","45","Primaria"
"0","Mujer","54","U. Preg"
"1","Hombre","25","Primaria"
"0","Mujer","79","Primaria"
"1","Hombre","40","Form. Prof"
"1","Mujer","28","Form. Prof"
"0","Hombre","82","Primaria"
"0","Mujer","63","Primaria"
"1","Hombre","59","Primaria"
"0","Mujer","30","Primaria"
"1","Mujer","35","Form. Prof"
"1","Mujer","24","Form. Prof"
"1","Hombre","45","U. Preg"
"0","Hombre","79","Primaria"
"0","Hombre","62","Primaria"
"0","Mujer","62","Primaria"
"1","Hombre","39","Maestría"
"1","Hombre","30","U. Preg"
"1","Mujer","65","Form. Prof"
"0","Mujer","72","Primaria"
"1","Hombre","22","Form. Prof"
"0","Mujer","47","Secundaria"
"1","Hombre","38","Maestría"
"1","Hombre","34","U. Preg"
"0","Mujer","52","Primaria"
"1","Mujer","38","Maestría"
"1","Mujer","25","U. Preg"
"1","Hombre","50","Form. Prof"
"0","Mujer","76","Primaria"
"1","Hombre","23","Form. Prof"
"0","Mujer","45","Form. Prof"
"0","Mujer","24","Primaria"
"0","Hombre","56","Primaria"
"1","Mujer","35","Maestría"
"0","Hombre","68","Primaria"
"1","Hombre","34","Primaria"
"0","Mujer","79","Primaria"
"1","Mujer","31","U. Preg"
"0","Mujer","59","Primaria"
"1","Hombre","47","Primaria"
"1","Hombre","35","Form. Prof"
"0","Mujer","77","Primaria"
"1","Hombre","44","Primaria"
"1","Hombre","42","Primaria"
"0","Hombre","66","Primaria"
"0","Mujer","58","Primaria"
"0","Mujer","44","Primaria"
"0","Mujer","54","Primaria"
"0","Hombre","71","Primaria"
"1","Mujer","25","U. Preg"
"0","Hombre","55","Primaria"
"0","Hombre","39","Primaria"
"0","Mujer","67","Sin estudios"
"0","Mujer","58","Primaria"
"1","Hombre","19","Primaria"
"1","Hombre","49","Form. Prof"
"1","Mujer","33","Secundaria"
"0","Hombre","74","Sin estudios"
"0","Mujer","58","Form. Prof"
"0","Mujer","65","Primaria"
"0","Hombre","35","Secundaria"
"1","Mujer","35","Form. Prof"
"1","Hombre","30","Secundaria"
"0","Mujer","68","Sin estudios"
"0","Mujer","45","Secundaria"
"0","Hombre","64","Primaria"
"0","Hombre","74","Form. Prof"
"0","Mujer","75","Sin estudios"
"0","Hombre","45","Secundaria"
"1","Hombre","30","Secundaria"
"1","Mujer","22","Form. Prof"
"0","Hombre","63","Primaria"
"1","Hombre","45","Primaria"
"0","Mujer","54","Primaria"
"0","Mujer","31","Primaria"
"1","Mujer","34","U. Preg"
"1","Mujer","39","U. Preg"
"1","Hombre","70","Maestría"
"1","Hombre","34","Secundaria"
"1","Hombre","51","Maestría"
"1","Mujer","23","U. Preg"
"0","Mujer","83","Primaria"
"1","Hombre","44","Secundaria"
"1","Mujer","40","Secundaria"
"1","Hombre","35","Maestría"
"0","Mujer","63","Primaria"
"0","Hombre","71","Primaria"
"0","Mujer","63","Primaria"
"1","Mujer","43","U. Preg"
"1","Mujer","51","Primaria"
"1","Hombre","30","U. Preg"
"0","Mujer","32","Primaria"
"1","Hombre","18","Primaria"
"0","Mujer","68","Primaria"
"1","Hombre","26","U. Preg"
"0","Mujer","82","Secundaria"
"1","Hombre","73","Maestría"
"1","Hombre","54","Maestría"
"1","Mujer","22","U. Preg"
"1","Hombre","21","Primaria"
"0","Mujer","76","U. Preg"
"0","Hombre","80","Primaria"
"1","Hombre","42","Primaria"
"0","Hombre","52","Primaria"
"0","Mujer","60","Secundaria"
"1","Mujer","28","Primaria"
"1","Mujer","43","Maestría"
"1","Hombre","45","Secundaria"
"1","Hombre","36","Maestría"
"1","Mujer","18","Secundaria"
"1","Mujer","34","Maestría"
"1","Hombre","53","Form. Prof"
"1","Mujer","48","Primaria"
"1","Hombre","33","Maestría"
"1","Hombre","47","Maestría"
"1","Mujer","36","U. Preg"
"0","Mujer","75","Maestría"
"1","Mujer","49","Form. Prof"
"1","Hombre","61","Secundaria"
"1","Hombre","33","U. Preg"
"1","Hombre","49","Primaria"
"1","Hombre","18","Secundaria"
"0","Hombre","25","Primaria"
"1","Mujer","68","Primaria"
"0","Mujer","75","Primaria"
"1","Mujer","50","Secundaria"
"0","Hombre","69","Sin estudios"
"1","Mujer","43","Secundaria"
"0","Mujer","75","Sin estudios"
"1","Mujer","25","Maestría"
"1","Mujer","48","Secundaria"
"1","Hombre","27","Primaria"
"1","Mujer","46","Primaria"
"1","Hombre","42","Primaria"
"0","Mujer","72","Sin estudios"
"1","Mujer","36","Secundaria"
"0","Hombre","66","Primaria"
"1","Hombre","31","Form. Prof"
"1","Hombre","31","Form. Prof"
"1","Mujer","42","Form. Prof"
"0","Mujer","68","U. Preg"
"1","Mujer","18","Form. Prof"
"1","Hombre","26","Maestría"
"0","Mujer","49","Primaria"
"1","Mujer","44","Maestría"
"1","Hombre","31","Secundaria"
"0","Hombre","58","Primaria"
"0","Mujer","57","Primaria"
"1","Hombre","61","Secundaria"
"1","Mujer","42","Secundaria"
"1","Hombre","31","Form. Prof"
"1","Mujer","31","Secundaria"
"0","Hombre","54","Primaria"
"1","Mujer","43","Maestría"
"0","Hombre","70","Primaria"
"1","Hombre","38","Maestría"
"1","Mujer","27","Maestría"
"0","Mujer","34","Form. Prof"
"0","Mujer","66","Primaria"
"1","Hombre","52","Form. Prof"
"1","Hombre","36","Maestría"
"0","Hombre","70","Maestría"
"0","Mujer","66","U. Preg"
"1","Hombre","32","U. Preg"
"0","Mujer","73","Primaria"
"1","Mujer","24","U. Preg"
"0","Mujer","64","Primaria"
"0","Mujer","77","Primaria"
"0","Mujer","49","Primaria"
"1","Hombre","62","Maestría"
"0","Mujer","59","Primaria"
"1","Hombre","57","Primaria"
"1","Hombre","27","Secundaria"
"1","Mujer","19","Secundaria"
"1","Hombre","26","Form. Prof"
"0","Hombre","60","Secundaria"
"1","Mujer","23","Maestría"
"1","Hombre","54","Secundaria"
"0","Mujer","72","Primaria"
"0","Mujer","50","Primaria"
"0","Mujer","33","Primaria"
"1","Mujer","53","Maestría"
"0","Mujer","56","Secundaria"
"1","Hombre","25","U. Preg"
"1","Hombre","58","Primaria"
"0","Mujer","86","Secundaria"
"1","Hombre","37","Maestría"
"1","Hombre","33","U. Preg"
"1","Mujer","37","Maestría"
"0","Mujer","75","Sin estudios"
"1","Mujer","55","Secundaria"
"1","Mujer","50","Maestría"
"1","Hombre","42","Maestría"
"0","Mujer","25","Primaria"
"1","Hombre","31","Maestría"
"0","Mujer","64","Sin estudios"
"1","Mujer","39","Form. Prof"
"1","Hombre","36","Secundaria"
"0","Mujer","67","Sin estudios"
"1","Mujer","32","Form. Prof"
"1","Hombre","41","Primaria"
"1","Hombre","18","Form. Prof"
"0","Mujer","36","Primaria"
"1","Mujer","50","Secundaria"
"1","Mujer","33","Maestría"
"1","Hombre","39","Secundaria"
"1","Hombre","34","Maestría"
"1","Hombre","31","Maestría"
"1","Mujer","33","Form. Prof"
"0","Mujer","52","Primaria"
"0","Hombre","80","Sin estudios"
"1","Hombre","35","Secundaria"
"0","Mujer","63","Sin estudios"
"0","Hombre","31","Primaria"
"0","Hombre","60","Primaria"
"1","Mujer","44","U. Preg"
"1","Hombre","37","Secundaria"
"0","Hombre","71","Primaria"
"1","Mujer","31","Form. Prof"
"0","Mujer","76","Sin estudios"
"0","Mujer","73","Primaria"
"1","Hombre","28","Primaria"
"1","Mujer","43","Form. Prof"
"1","Hombre","21","Primaria"
"0","Hombre","79","Primaria"
"1","Hombre","41","Primaria"
"1","Hombre","44","Secundaria"
"1","Hombre","23","U. Preg"
"1","Mujer","18","Primaria"
"0","Mujer","53","Primaria"
"0","Mujer","44","Primaria"
"0","Mujer","55","Primaria"
"0","Hombre","61","Primaria"
"1","Hombre","33","Primaria"
"1","Mujer","35","U. Preg"
"1","Mujer","20","Secundaria"
"1","Hombre","62","U. Preg"
"1","Mujer","25","Maestría"
"1","Hombre","50","Maestría"
"1","Mujer","37","U. Preg"
"0","Mujer","34","Primaria"
"0","Mujer","63","Primaria"
"1","Hombre","19","Primaria"
"0","Hombre","49","Primaria"
"1","Hombre","30","Secundaria"
"0","Hombre","37","Primaria"
"1","Mujer","42","Maestría"
"1","Mujer","27","Maestría"
"0","Mujer","76","Primaria"
"0","Mujer","75","Primaria"
"0","Hombre","73","Secundaria"
"1","Mujer","39","Maestría"
"0","Hombre","27","Form. Prof"
"0","Hombre","60","Primaria"
"1","Mujer","24","Maestría"
"1","Hombre","42","Maestría"
"1","Hombre","57","Maestría"
"1","Hombre","31","Maestría"
"0","Hombre","80","Primaria"
"0","Hombre","25","Primaria"
"0","Mujer","78","Primaria"
"1","Hombre","49","Form. Prof"
"1","Mujer","50","Maestría"
"1","Hombre","38","U. Preg"
"1","Mujer","36","Maestría"
"1","Mujer","24","U. Preg"
"1","Hombre","32","Maestría"
"1","Hombre","25","Maestría"
"1","Mujer","26","Maestría"
"0","Mujer","68","Secundaria"
"0","Hombre","65","U. Preg"
"0","Hombre","65","Primaria"
"0","Mujer","78","Sin estudios"
"1","Mujer","19","Secundaria"
"1","Hombre","52","Form. Prof"
"0","Mujer","57","Primaria"
"1","Hombre","55","Secundaria"
"1","Mujer","28","Form. Prof"
"1","Hombre","30","Form. Prof"
"1","Mujer","40","U. Preg"
"1","Hombre","24","Primaria"
"0","Mujer","80","Sin estudios"
"1","Mujer","27","Form. Prof"
"1","Hombre","22","Form. Prof"
"1","Mujer","48","Primaria"
"1","Mujer","20","Primaria"
"1","Mujer","48","Secundaria"
"1","Mujer","39","Form. Prof"
"1","Hombre","35","Secundaria"
"1","Hombre","51","Primaria"
"1","Hombre","33","Primaria"
"0","Mujer","70","Primaria"
"1","Hombre","35","Secundaria"
"1","Mujer","29","Maestría"
"1","Mujer","37","Maestría"
"1","Hombre","52","Primaria"
"0","Hombre","55","Secundaria"
"1","Mujer","24","Secundaria"
"1","Hombre","18","Secundaria"
"0","Mujer","60","Secundaria"
"1","Hombre","34","Form. Prof"
"1","Hombre","44","Maestría"
"1","Mujer","69","Maestría"
"1","Hombre","32","Secundaria"
"1","Mujer","34","Maestría"
"1","Hombre","49","U. Preg"
"1","Mujer","40","Maestría"
"1","Mujer","42","Maestría"
"1","Mujer","34","Form. Prof"
"1","Hombre","53","Secundaria"
"1","Hombre","22","Form. Prof"
"1","Hombre","34","Secundaria"
"0","Mujer","70","Primaria"
"0","Mujer","45","Primaria"
"1","Hombre","40","U. Preg"
"0","Mujer","45","Primaria"
"1","Hombre","18","Primaria"
"1","Mujer","34","Secundaria"
"0","Hombre","64","Primaria"
"0","Hombre","74","Primaria"
"1","Hombre","34","Primaria"
"0","Hombre","47","Primaria"
"1","Hombre","28","Form. Prof"
"1","Mujer","55","Primaria"
"1","Mujer","32","Secundaria"
"1","Mujer","35","Form. Prof"
"0","Mujer","74","Sin estudios"
"0","Hombre","76","Primaria"
"0","Mujer","40","Sin estudios"
"1","Hombre","52","Secundaria"
"0","Mujer","57","Primaria"
"1","Hombre","29","Form. Prof"
"1","Hombre","40","Primaria"
"1","Mujer","38","U. Preg"
"1","Mujer","42","Maestría"
"1","Mujer","22","U. Preg"
"1","Mujer","47","Primaria"
"1","Hombre","28","Primaria"
"1","Hombre","21","U. Preg"
"1","Mujer","30","Form. Prof"
"1","Hombre","40","Primaria"
"1","Mujer","36","Secundaria"
"0","Hombre","58","Primaria"
"1","Hombre","36","Maestría"
"1","Mujer","18","Primaria"
"0","Mujer","48","Primaria"
"1","Mujer","34","Secundaria"
"1","Mujer","32","Maestría"
"1","Hombre","27","Secundaria"
"0","Hombre","83","Primaria"
"0","Mujer","35","Primaria"
"0","Hombre","52","Primaria"
"1","Mujer","54","Primaria"
"0","Mujer","25","Secundaria"
"0","Mujer","66","Primaria"
"1","Hombre","22","Form. Prof"
"1","Mujer","47","Secundaria"
"0","Mujer","50","Primaria"
"1","Mujer","25","Primaria"
"0","Mujer","40","Primaria"
"0","Mujer","59","Secundaria"
"1","Hombre","26","Maestría"
"0","Hombre","95","Primaria"
"1","Mujer","63","Secundaria"
"0","Mujer","65","Primaria"
"1","Mujer","33","Maestría"
"0","Mujer","48","Primaria"
"0","Hombre","63","Primaria"
"1","Mujer","36","U. Preg"
"1","Hombre","56","Form. Prof"
"0","Hombre","48","Primaria"
"0","Mujer","37","Primaria"
"1","Mujer","45","Form. Prof"
"0","Hombre","59","Primaria"
"0","Hombre","73","Sin estudios"
"0","Hombre","71","Primaria"
"0","Mujer","66","Primaria"
"0","Hombre","60","Primaria"
"0","Mujer","60","Primaria"
"1","Mujer","38","Form. Prof"
"1","Hombre","27","Primaria"
"1","Mujer","33","Secundaria"
"1","Hombre","22","U. Preg"
"0","Mujer","70","Primaria"
"1","Hombre","21","U. Preg"
"1","Hombre","63","Primaria"
"1","Hombre","41","Maestría"
"1","Hombre","27","Form. Prof"
"1","Mujer","87","Secundaria"
"0","Hombre","75","Primaria"
"1","Mujer","57","Maestría"
"1","Mujer","39","Form. Prof"
"1","Hombre","53","Maestría"
"1","Mujer","52","Maestría"
"1","Hombre","26","Maestría"
"1","Mujer","38","Form. Prof"
"0","Mujer","65","Primaria"
"1","Hombre","41","Maestría"
"1","Hombre","64","Primaria"
"1","Mujer","33","Primaria"
"1","Mujer","24","Form. Prof"
"1","Hombre","34","Primaria"
"1","Mujer","38","Secundaria"
"1","Hombre","57","Maestría"
"0","Hombre","80","Sin estudios"
"0","Mujer","59","Sin estudios"
"1","Hombre","27","Primaria"
"1","Hombre","39","Form. Prof"
"1","Mujer","32","U. Preg"
"1","Mujer","24","Form. Prof"
"0","Mujer","55","Primaria"
"1","Hombre","20","U. Preg"
"1","Hombre","50","Maestría"
"1","Mujer","36","Maestría"
"1","Hombre","30","Form. Prof"
"0","Mujer","72","Sin estudios"
"1","Mujer","31","U. Preg"
"0","Mujer","80","Sin estudios"
"1","Hombre","27","Primaria"
"0","Hombre","81","Primaria"
"0","Mujer","53","Primaria"
"1","Hombre","45","Maestría"
"0","Mujer","44","Primaria"
"1","Mujer","54","Form. Prof"
"1","Hombre","30","Secundaria"
"0","Mujer","66","Sin estudios"
"0","Mujer","64","Maestría"
"0","Hombre","53","Primaria"
"0","Hombre","61","Primaria"
"1","Mujer","23","Primaria"
"1","Mujer","31","U. Preg"
"1","Hombre","22","Form. Prof"
"1","Hombre","28","Maestría"
"1","Mujer","25","U. Preg"
"0","Mujer","55","Primaria"
"0","Hombre","42","Primaria"
"0","Mujer","65","Primaria"
"1","Hombre","35","Primaria"
"1","Hombre","29","Primaria"
"1","Mujer","35","Primaria"
"0","Mujer","53","Primaria"
"0","Hombre","72","Sin estudios"
"0","Hombre","45","Form. Prof"
"1","Hombre","25","Form. Prof"
"1","Mujer","33","Secundaria"
"0","Hombre","50","Primaria"
"0","Hombre","62","Primaria"
"1","Mujer","40","U. Preg"
"0","Mujer","71","Primaria"
"1","Mujer","38","Primaria"
"1","Hombre","23","Secundaria"
"1","Mujer","18","Primaria"
"1","Hombre","39","Primaria"
"1","Mujer","52","Primaria"
"0","Mujer","64","Sin estudios"
"0","Hombre","75","Sin estudios"
"1","Hombre","24","Form. Prof"
"1","Mujer","43","Primaria"
"0","Hombre","66","Sin estudios"
"1","Mujer","33","Primaria"
"1","Hombre","27","Maestría"
"1","Hombre","37","Primaria"
"1","Mujer","44","Primaria"
"0","Mujer","63","Primaria"
"0","Hombre","70","Primaria"
"0","Hombre","36","Primaria"
"1","Mujer","19","Primaria"
"1","Hombre","51","Primaria"
"1","Mujer","28","Maestría"
"1","Hombre","31","Primaria"
"1","Mujer","27","Form. Prof"
"0","Hombre","32","Primaria"
"0","Hombre","47","Primaria"
"0","Mujer","23","Form. Prof"
"0","Hombre","62","Sin estudios"
"0","Mujer","73","Sin estudios"
"0","Mujer","68","Sin estudios"
"0","Mujer","50","Primaria"
"0","Hombre","41","Primaria"
"0","Hombre","53","Primaria"
"0","Mujer","76","Sin estudios"
"1","Hombre","18","Primaria"
"1","Hombre","32","Secundaria"
"0","Mujer","25","Primaria"
"1","Mujer","24","Form. Prof"
"0","Hombre","43","Primaria"
"0","Mujer","40","Primaria"
"1","Mujer","28","Form. Prof"
"0","Hombre","64","Sin estudios"
"0","Mujer","79","Sin estudios"
"0","Hombre","31","Primaria"
"0","Hombre","46","Primaria"
"1","Mujer","35","Form. Prof"
"0","Mujer","26","Primaria"
"1","Hombre","36","Primaria"
"0","Hombre","74","Sin estudios"
"1","Hombre","63","U. Preg"
"1","Mujer","20","Secundaria"
"1","Hombre","26","Secundaria"
"1","Mujer","45","U. Preg"
"1","Mujer","28","Maestría"
"0","Hombre","41","Primaria"
"0","Mujer","74","Sin estudios"
"0","Mujer","64","Primaria"
"1","Hombre","40","Maestría"
"0","Mujer","50","Form. Prof"
"0","Hombre","71","Primaria"
"1","Hombre","34","Form. Prof"
"1","Mujer","40","Form. Prof"
"0","Mujer","62","Primaria"
"1","Hombre","51","Primaria"
"1","Mujer","38","Secundaria"
"0","Mujer","78","Sin estudios"
"0","Mujer","52","Primaria"
"1","Mujer","25","Primaria"
"1","Hombre","24","Primaria"
"1","Hombre","36","Form. Prof"
"1","Hombre","33","Maestría"
"0","Mujer","67","Sin estudios"
"0","Hombre","77","Sin estudios"
"0","Mujer","26","Form. Prof"
"0","Mujer","55","Primaria"
"0","Hombre","57","Primaria"
"1","Hombre","39","Secundaria"
"1","Mujer","25","U. Preg"
"1","Mujer","36","Secundaria"
"0","Mujer","75","Form. Prof"
"1","Mujer","45","U. Preg"
"1","Hombre","20","Form. Prof"
"1","Hombre","34","Secundaria"
"0","Hombre","69","Primaria"
"1","Hombre","52","Maestría"
"0","Mujer","28","Primaria"
"0","Hombre","43","Form. Prof"
"1","Hombre","18","Secundaria"
"0","Mujer","62","Primaria"
"0","Mujer","48","Form. Prof"
"1","Hombre","39","Primaria"
"0","Mujer","71","Primaria"
"0","Hombre","28","Primaria"
"1","Hombre","60","Secundaria"
"0","Mujer","23","Primaria"
"0","Hombre","72","Primaria"
"1","Mujer","40","Primaria"
"0","Mujer","79","Sin estudios"
"0","Mujer","51","Sin estudios"
"1","Hombre","26","Primaria"
"1","Hombre","37","Secundaria"
"1","Mujer","29","Primaria"
"0","Hombre","39","Secundaria"
"0","Hombre","61","Primaria"
"0","Mujer","53","Primaria"
"1","Mujer","33","Form. Prof"
"1","Mujer","37","Secundaria"
"1","Hombre","58","U. Preg"
"1","Hombre","48","Primaria"
"1","Hombre","28","U. Preg"
"0","Mujer","80","Sin estudios"
"0","Hombre","77","Sin estudios"
"1","Mujer","53","U. Preg"
"0","Hombre","78","Maestría"
"1","Hombre","37","Primaria"
"0","Hombre","46","Primaria"
"1","Mujer","20","Secundaria"
"1","Mujer","62","Maestría"
"1","Hombre","29","Form. Prof"
"1","Mujer","69","Secundaria"
"1","Mujer","33","U. Preg"
"1","Hombre","34","Secundaria"
"1","Hombre","38","Form. Prof"
"1","Hombre","45","Primaria"
"1","Mujer","36","Form. Prof"
"1","Hombre","23","Form. Prof"
"0","Mujer","78","Primaria"
"0","Hombre","73","Primaria"
"0","Mujer","59","Primaria"
"1","Mujer","19","Secundaria"
"1","Hombre","39","Form. Prof"
"1","Mujer","51","Form. Prof"
"1","Mujer","37","U. Preg"
"0","Mujer","79","Primaria"
"1","Hombre","18","Primaria"
"0","Hombre","64","Primaria"
"1","Mujer","25","U. Preg"
"1","Hombre","32","Primaria"
"1","Hombre","48","Secundaria"
"1","Hombre","57","Primaria"
"1","Mujer","25","Form. Prof"
"0","Mujer","68","Primaria"
"0","Hombre","73","Primaria"
"1","Hombre","18","Primaria"
