"ID","uso_internet","sexo","edad","estudios"
"447",1,"Hombre",22,"Primaria"
"448",1,"Hombre",35,"Form Profesional"
"449",0,"Hombre",90,"Sin estudios"
"450",1,"Mujer",68,"Universitarios"
"451",0,"Mujer",41,"Primaria"
"452",1,"Hombre",19,"Secundaria"
"453",1,"Hombre",39,"Primaria"
"454",0,"Hombre",52,"Primaria"
"455",1,"Hombre",19,"Form Profesional"
"456",0,"Mujer",34,"Primaria"
"457",1,"Hombre",28,"Maestría"
"458",0,"Mujer",58,"Primaria"
"459",0,"Hombre",64,"Primaria"
"460",0,"Mujer",42,"Universitarios"
"461",0,"Mujer",69,"Sin estudios"
"462",1,"Hombre",26,"Secundaria"
"463",0,"Hombre",73,"Primaria"
"464",1,"Hombre",50,"Secundaria"
"465",0,"Mujer",43,"Form Profesional"
"466",0,"Mujer",82,"Primaria"
"467",0,"Mujer",55,"Form Profesional"
"468",1,"Hombre",35,"Form Profesional"
"469",0,"Mujer",79,"Sin estudios"
"470",1,"Mujer",33,"Form Profesional"
"471",1,"Hombre",30,"Primaria"
"472",0,"Hombre",57,"Form Profesional"
"473",1,"Hombre",30,"Universitarios"
"474",1,"Hombre",32,"Universitarios"
"475",0,"Mujer",63,"Primaria"
"476",1,"Mujer",50,"Form Profesional"
"477",1,"Mujer",44,"Form Profesional"
"478",0,"Mujer",71,"Sin estudios"
"479",0,"Mujer",42,"Primaria"
"480",0,"Mujer",47,"Primaria"
"481",1,"Mujer",24,"Form Profesional"
"482",1,"Hombre",55,"Universitarios"
"483",1,"Hombre",32,"Secundaria"
"484",1,"Mujer",32,"Maestría"
"485",0,"Mujer",78,"Primaria"
"486",0,"Mujer",73,"Sin estudios"
"487",0,"Mujer",60,"Primaria"
"488",1,"Mujer",33,"Primaria"
"489",0,"Mujer",35,"Primaria"
"490",0,"Mujer",52,"Primaria"
"491",1,"Hombre",31,"Form Profesional"
"492",0,"Hombre",49,"Primaria"
"493",1,"Hombre",35,"Secundaria"
"494",1,"Hombre",28,"Primaria"
"495",1,"Mujer",38,"Primaria"
"496",1,"Mujer",30,"Universitarios"
"497",1,"Hombre",56,"Primaria"
"498",1,"Mujer",30,"Secundaria"
"499",1,"Mujer",37,"Maestría"
"500",1,"Hombre",31,"Universitarios"
"501",0,"Mujer",64,"Primaria"
"502",1,"Hombre",50,"Secundaria"
"503",1,"Hombre",55,"Maestría"
"504",0,"Mujer",43,"Secundaria"
"505",1,"Hombre",37,"Primaria"
"506",1,"Hombre",49,"Primaria"
"507",1,"Hombre",21,"Primaria"
"508",0,"Hombre",57,"Form Profesional"
"509",1,"Mujer",21,"Primaria"
"511",1,"Hombre",38,"Primaria"
"512",0,"Hombre",70,"Primaria"
"513",0,"Mujer",57,"Primaria"
"514",0,"Mujer",82,"Sin estudios"
"515",0,"Mujer",40,"Primaria"
"516",0,"Mujer",72,"Sin estudios"
"517",1,"Hombre",36,"Form Profesional"
"518",0,"Hombre",65,"Primaria"
"519",1,"Hombre",23,"Primaria"
"520",1,"Mujer",29,"Secundaria"
"521",1,"Hombre",48,"Secundaria"
"522",0,"Mujer",41,"Primaria"
"523",0,"Mujer",57,"Primaria"
"524",1,"Mujer",47,"Maestría"
"525",0,"Mujer",70,"Primaria"
"526",1,"Hombre",60,"Maestría"
"527",1,"Mujer",18,"Primaria"
"528",1,"Hombre",40,"Maestría"
"529",1,"Mujer",35,"Secundaria"
"530",1,"Hombre",46,"Form Profesional"
"531",1,"Mujer",55,"Secundaria"
"532",1,"Hombre",60,"Primaria"
"533",1,"Hombre",29,"Form Profesional"
"534",1,"Mujer",34,"Form Profesional"
"535",1,"Mujer",39,"Form Profesional"
"536",1,"Mujer",19,"Secundaria"
"537",1,"Hombre",47,"Secundaria"
"538",0,"Hombre",65,"Primaria"
"539",1,"Mujer",35,"Form Profesional"
"541",0,"Hombre",54,"Primaria"
"542",1,"Hombre",60,"Form Profesional"
"543",0,"Mujer",78,"Primaria"
"544",0,"Mujer",26,"Form Profesional"
"545",0,"Mujer",59,"Universitarios"
"546",1,"Hombre",33,"Form Profesional"
"547",1,"Mujer",33,"Secundaria"
"548",1,"Hombre",58,"Universitarios"
"549",0,"Hombre",80,"Primaria"
"550",1,"Mujer",47,"Form Profesional"
"551",1,"Mujer",43,"Maestría"
"552",1,"Hombre",46,"Maestría"
